Time,RPM,Setpoint
2055516,1200.00,1800.00
2057640,1200.00,1800.00
2059764,900.00,1800.00
2061804,1200.00,1800.00
2063928,1200.00,1800.00
2066056,1200.00,1800.00
2068180,900.00,1800.00
2070220,1200.00,1800.00
2072344,900.00,1800.00
2074384,900.00,1800.00
2076424,900.00,1800.00
2078464,900.00,1800.00
2080504,900.00,1800.00
2082616,900.00,1800.00
2084584,900.00,1800.00
2086624,900.00,1800.00
2088664,900.00,1800.00
2090704,600.00,1800.00
2092744,900.00,1800.00
2094784,600.00,1800.00
2096824,900.00,1800.00
2098872,600.00,1800.00
2100904,600.00,1800.00
2102944,600.00,1800.00
2104984,600.00,1800.00
2107064,600.00,1800.00
2109104,900.00,1800.00
2111144,900.00,1800.00
2113184,900.00,1800.00
2115224,900.00,1800.00
2117264,900.00,1800.00
2119304,900.00,1800.00
2121368,900.00,1800.00
2123384,900.00,1800.00
2125424,1200.00,1800.00
2127620,1200.00,1800.00
2129672,1200.00,1800.00
2131800,1200.00,1800.00
2133924,1200.00,1800.00
2136048,1500.00,1800.00
2138176,1500.00,1800.00
2140300,1200.00,1800.00
2142424,1500.00,1800.00
2144548,1200.00,1800.00
2146672,1500.00,1800.00
2148868,1500.00,1800.00
2150924,1500.00,1800.00
2153048,1500.00,1800.00
2155172,1500.00,1800.00
2157300,1500.00,1800.00
2159424,1500.00,1800.00
2161548,1800.00,1800.00
2163676,1500.00,1800.00
2165800,1800.00,1800.00
2167924,1500.00,1800.00
2170116,1800.00,1800.00
2172176,1800.00,1800.00
2174300,1800.00,1800.00
2176424,1800.00,1800.00
2178548,1800.00,1800.00
2180676,1500.00,1800.00
2182800,1800.00,1800.00
2184924,1800.00,1800.00
2187048,1500.00,1800.00
2189172,1800.00,1800.00
2191380,1800.00,1800.00
2193428,1800.00,1800.00
2195548,1800.00,1800.00
2197672,1800.00,1800.00
2199804,1800.00,1800.00
2201924,1800.00,1800.00
2204048,1800.00,1800.00
2206216,1800.00,1800.00
2208340,1800.00,1800.00
2210464,1800.00,1800.00
2212628,1500.00,1800.00
2214716,1800.00,1800.00
2216840,1800.00,1800.00
2218964,1800.00,1800.00
2221092,1800.00,1800.00
2223216,1500.00,1800.00
2225340,1500.00,1800.00
2227464,1500.00,1800.00
2229592,1500.00,1800.00
2231720,1500.00,1800.00
2233868,1500.00,1800.00
2235964,1500.00,1800.00
2238092,1500.00,1800.00
2240216,1500.00,1800.00
2242340,1200.00,1800.00
2244464,1500.00,1800.00
2246592,1200.00,1800.00
2248720,1500.00,1800.00
2250840,1200.00,1800.00
2252964,1200.00,1800.00
2255120,1200.00,1800.00
2257216,1200.00,1800.00
2259340,1200.00,1800.00
2261464,1200.00,1800.00
2263592,1200.00,1800.00
2265716,1200.00,1800.00
2267840,900.00,1800.00
2269880,900.00,1800.00
2271928,900.00,1800.00
2273960,1200.00,1800.00
2276084,900.00,1800.00
2278124,1200.00,1800.00
2280252,900.00,1800.00
2282292,900.00,1800.00
2284332,900.00,1800.00
2286372,900.00,1800.00
2288412,600.00,1800.00
2290452,900.00,1800.00
2292492,900.00,1800.00
2294532,900.00,1800.00
2296572,900.00,1800.00
2298612,900.00,1800.00
2300652,900.00,1800.00
2302692,600.00,1800.00
2304732,600.00,1800.00
2306808,600.00,1800.00
2308868,600.00,1800.00
2310888,900.00,1800.00
2312928,600.00,1800.00
2314968,900.00,1800.00
2317008,900.00,1800.00
2319052,1200.00,1800.00
2321176,900.00,1800.00
2323216,900.00,1800.00
2325256,1200.00,1800.00
2327380,900.00,1800.00
2329420,1200.00,1800.00
2331544,1200.00,1800.00
2333672,1200.00,1800.00
2335796,1200.00,1800.00
2337920,1500.00,1800.00
2340112,1200.00,1800.00
2342168,1200.00,1800.00
2344296,1500.00,1800.00
2346420,1500.00,1800.00
2348544,1200.00,1800.00
2350676,1500.00,1800.00
2352796,1500.00,1800.00
2354920,1500.00,1800.00
2357044,1500.00,1800.00
2359168,1500.00,1800.00
2361384,1500.00,1800.00
2363420,1800.00,1800.00
2365544,1500.00,1800.00
2367668,1500.00,1800.00
2369796,1500.00,1800.00
2371920,1800.00,1800.00
2374052,1500.00,1800.00
2376168,1500.00,1800.00
2378296,1500.00,1800.00
2380420,1800.00,1800.00
2382628,1500.00,1800.00
2384672,1800.00,1800.00
2386796,1500.00,1800.00
2388920,1800.00,1800.00
2391052,1800.00,1800.00
2393168,1800.00,1800.00
2395296,1800.00,1800.00
2397428,1800.00,1800.00
2399544,1800.00,1800.00
2401668,1800.00,1800.00
2403876,1800.00,1800.00
2405920,1800.00,1800.00
2408064,1800.00,1800.00
2410192,1800.00,1800.00
2412316,1800.00,1800.00
2414440,1800.00,1800.00
2416564,1500.00,1800.00
2418696,1500.00,1800.00
2420816,1500.00,1800.00
2422940,1500.00,1800.00
2425120,1500.00,1800.00
2427192,1500.00,1800.00
2429316,1500.00,1800.00
2431440,1500.00,1800.00
2433568,1500.00,1800.00
2435692,1500.00,1800.00
2437816,1200.00,1800.00
2439940,1500.00,1800.00
2442068,1500.00,1800.00
2444192,1200.00,1800.00
2446376,1200.00,1800.00
2448448,1500.00,1800.00
2450568,1200.00,1800.00
2452692,1200.00,1800.00
2454816,1200.00,1800.00
2456948,1200.00,1800.00
2459064,1200.00,1800.00
2461192,1200.00,1800.00
2463316,900.00,1800.00
2465356,1200.00,1800.00
2467480,900.00,1800.00
2469520,900.00,1800.00
2471560,1200.00,1800.00
2473688,900.00,1800.00
2475728,900.00,1800.00
2477768,900.00,1800.00
2479808,1200.00,1800.00
2481932,900.00,1800.00
2483972,900.00,1800.00
2486012,900.00,1800.00
2488052,900.00,1800.00
2490120,900.00,1800.00
2492132,900.00,1800.00
2494172,600.00,1800.00
2496212,900.00,1800.00
2498252,900.00,1800.00
2500292,600.00,1800.00
2502332,600.00,1800.00
2504372,600.00,1800.00
2506460,600.00,1800.00
2508488,600.00,1800.00
2510524,900.00,1800.00
2512628,600.00,1800.00
2514604,900.00,1800.00
2516644,900.00,1800.00
2518684,900.00,1800.00
2520724,1200.00,1800.00
2522848,900.00,1800.00
2524888,1200.00,1800.00
2527016,1200.00,1800.00
2529140,1200.00,1800.00
2531264,1200.00,1800.00
2533396,1200.00,1800.00
2535516,1200.00,1800.00
2537640,1200.00,1800.00
2539764,1500.00,1800.00
2541888,1500.00,1800.00
2544012,1200.00,1800.00
2546140,1500.00,1800.00
2548264,1500.00,1800.00
2550388,1500.00,1800.00
2552520,1500.00,1800.00
2554640,1500.00,1800.00
2556764,1200.00,1800.00
2558888,1500.00,1800.00
2561016,1500.00,1800.00
2563144,1500.00,1800.00
2565264,1800.00,1800.00
2567396,1500.00,1800.00
2569516,1500.00,1800.00
2571640,1500.00,1800.00
2573764,1500.00,1800.00
2575888,1800.00,1800.00
2578012,1500.00,1800.00
2580140,1800.00,1800.00
2582264,1800.00,1800.00
2584396,1800.00,1800.00
2586516,1500.00,1800.00
2588640,1800.00,1800.00
2590764,1800.00,1800.00
2592888,1800.00,1800.00
2595012,1800.00,1800.00
2597140,1800.00,1800.00
2599264,1800.00,1800.00
2601388,1800.00,1800.00
2603512,1800.00,1800.00
2605640,2100.00,1800.00
2607808,1800.00,1800.00
2609932,1800.00,1800.00
2612056,1500.00,1800.00
2614180,1800.00,1800.00
2616376,1800.00,1800.00
2618440,1500.00,1800.00
2620556,1800.00,1800.00
2622680,1800.00,1800.00
2624808,1500.00,1800.00
2626932,1500.00,1800.00
2629056,1500.00,1800.00
2631180,1500.00,1800.00
2633308,1500.00,1800.00
2635436,1500.00,1800.00
2637620,1500.00,1800.00
2639680,1500.00,1800.00
2641812,1500.00,1800.00
2643932,1500.00,1800.00
2646056,1500.00,1800.00
2648180,1200.00,1800.00
2650308,1500.00,1800.00
2652432,1200.00,1800.00
2654556,1200.00,1800.00
2656680,1200.00,1800.00
2658872,1200.00,1800.00
2660932,1200.00,1800.00
2663056,1200.00,1800.00
2665180,1200.00,1800.00
2667308,1200.00,1800.00
2669432,1200.00,1800.00
2671556,900.00,1800.00
2673596,900.00,1800.00
2675636,900.00,1800.00
2677676,900.00,1800.00
2679716,1200.00,1800.00
2681840,900.00,1800.00
2683880,900.00,1800.00
2685920,900.00,1800.00
2687960,900.00,1800.00
2690000,900.00,1800.00
2692040,900.00,1800.00
2694080,600.00,1800.00
2696120,900.00,1800.00
2698160,900.00,1800.00
2700200,900.00,1800.00
2702240,900.00,1800.00
2704280,600.00,1800.00
2706368,900.00,1800.00
2708376,600.00,1800.00
2710416,900.00,1800.00
2712456,900.00,1800.00
2714496,900.00,1800.00
2716536,900.00,1800.00
2718576,900.00,1800.00
2720616,900.00,1800.00
2722656,900.00,1800.00
2724696,900.00,1800.00
2726736,1200.00,1800.00
2728868,1200.00,1800.00
2730984,1200.00,1800.00
2733112,1200.00,1800.00
2735236,1200.00,1800.00
2737360,1200.00,1800.00
2739484,1200.00,1800.00
2741612,1500.00,1800.00
2743736,1500.00,1800.00
